Setor,Ativo Y,Ativo X,T-Score,P-Value,Hedge Ratio,Observacoes
industria,PLAS3,INEP4,-6.451052409218919,1.5231813818349785e-08,0.7891087967245645,702
industria,PLAS3,INEP3,-6.261923816472,4.202933937342428e-08,0.7020978462812908,749
financeiro,RPAD5,BMIN4,-6.2454816738240195,4.587059449232841e-08,0.22078807537246972,749
industria,INEP4,PLAS3,-6.149606420263228,7.618646905066545e-08,0.9733693582117509,702
financeiro,BBSE3,BSLI4,-6.069316535318199,1.161117437333448e-07,-1.0044099383580847,742
financeiro,RPAD5,BMEB3,-5.7272717579338694,6.725957809220229e-07,0.04109669799426141,749
financeiro,BMIN3,BPAC11,-5.677477013326665,8.638057952699225e-07,0.07765694251671948,749
financeiro,RPAD5,BMEB4,-5.640449848092238,1.0394430894279967e-06,0.03275636590442461,749
financeiro,RPAD5,INBR32,-5.62018271486069,1.1498673847862762e-06,0.05409834322349326,585
financeiro,BMIN3,BRSR5,-5.5703324314247125,1.4724240055186309e-06,0.4969629273128799,749
financeiro,RPAD5,ITUB3,-5.535156719075342,1.7514798337991926e-06,0.10148893192063903,749
financeiro,RPAD5,ITUB4,-5.510772414394591,1.9744985084935665e-06,0.08738048816605822,749
industria,POMO3,POMO4,-5.501808015449373,2.0632488016741704e-06,0.7347002365312942,749
financeiro,BMIN3,BRSR6,-5.495168695639147,2.1314716303814317e-06,0.24255509113921306,749
industria,POMO4,POMO3,-5.490976289906433,2.175676927875726e-06,1.35830030056078,749
financeiro,RPAD5,ITSA4,-5.476669128914398,2.333355713730054e-06,0.3157972511535087,749
financeiro,BMIN3,BRSR3,-5.467675624318066,2.4381078442407933e-06,0.36378590131606015,749
financeiro,RPAD5,ITSA3,-5.439938626445983,2.7908140113730576e-06,0.34392095792380645,749
financeiro,RPAD5,CXSE3,-5.432013716006025,2.9003908503740767e-06,0.10472699908103587,749
energia_eletrica,CGAS3,CGAS5,-5.420924687061859,3.060767658339896e-06,0.9141637009754472,749
financeiro,BMIN3,PINE4,-5.410959946777896,3.2122159318346415e-06,0.23388428671489825,749
mineracao_siderurgia,BRAP3,BRAP4,-5.374283716264969,3.834949894429007e-06,0.7741645000813542,749
financeiro,BMIN3,BPAC5,-5.340971286360961,4.50113630393656e-06,0.24140968876270477,749
mineracao_siderurgia,BRAP4,BRAP3,-5.340543643658555,4.510379404180037e-06,1.274202449839755,749
financeiro,BMIN3,BPAC3,-5.325832581009831,4.83981069146756e-06,0.1853807125408778,749
energia_eletrica,ENMT4,ENMT3,-5.317130011652668,5.045563505869762e-06,0.7813714124679478,749
financeiro,BMIN3,ABCB4,-5.308021919376797,5.269990395983303e-06,0.06468542252127396,749
financeiro,BMIN3,BNBR3,-5.291427149526619,5.704045300984763e-06,0.012649053624979464,749
financeiro,BMIN3,ITSA4,-5.282485891869313,5.952091432833553e-06,0.18084146302807333,749
financeiro,BMIN3,ITSA3,-5.271946271857771,6.2579285465865574e-06,0.18115149743308873,749
financeiro,BMIN3,BAZA3,-5.259745069583344,6.631031896044703e-06,0.0068132889422531685,749
financeiro,BMIN3,ITUB4,-5.230122024008367,7.628846205267816e-06,0.02626649949038468,749
financeiro,BMIN3,ITUB3,-5.22296205256244,7.891030519673416e-06,0.02880026607023366,749
financeiro,BMIN3,RPAD3,-5.214584143623216,8.208905253813267e-06,0.08993601905166904,749
financeiro,BMIN3,SANB3,-5.2119445214470295,8.311602711118668e-06,0.1490001409332273,749
financeiro,RPAD5,ABCB4,-5.209112837950084,8.423156010923246e-06,0.09634252578399866,749
energia_eletrica,CGAS5,CGAS3,-5.194497701702546,9.022366826080595e-06,0.6165962943207471,749
financeiro,BMIN3,PABY11,-5.193950571326356,9.045582112949615e-06,0.08258359286882934,749
financeiro,BMIN3,RPAD6,-5.191217316380436,9.162425773685834e-06,0.030029547003136828,749
financeiro,BMIN3,BMEB3,-5.176173092699069,9.832174751018228e-06,0.0027830056372053105,749
financeiro,BMIN3,PSSA3,-5.170817133681788,1.008186534518201e-05,0.0005443516671241174,749
financeiro,BMIN3,BMEB4,-5.1623112617568445,1.0491062869557306e-05,-0.003917250968102031,749
financeiro,RPAD5,BNBR3,-5.148985694738527,1.1164623239992014e-05,0.015605437283621354,749
financeiro,BMIN3,IRBR3,-5.128147304364734,1.2302551949705677e-05,0.03185109147066277,749
financeiro,BMIN3,BBAS3,-5.111549813115912,1.3288373696031124e-05,0.04550078678872919,749
energia_eletrica,ALUP11,ALUP3,-5.058136175307434,1.7006754545372062e-05,2.7328757298307957,749
financeiro,BMIN3,BBSE3,-5.029417337624942,1.940262396335945e-05,-0.11231748585013454,749
industria,PLAS3,ETER3,-5.025590751585017,1.9745465045479157e-05,0.3638614665937731,749
financeiro,BMIN3,RPAD5,-5.016029167066604,2.0627874284566965e-05,0.3340724253371573,749
industria,INEP3,PLAS3,-5.011710347127179,2.1038805195875867e-05,1.035177174547992,749
financeiro,BMIN3,WIZC3,-4.986970934040644,2.3549275178048558e-05,-0.12077203588554936,749
financeiro,BMIN3,B3SA3,-4.978171704516879,2.450996384945727e-05,0.1202427411555021,749
financeiro,BMIN3,CGRA3,-4.976931050397943,2.464841892457014e-05,-0.008412072806848619,749
financeiro,RPAD5,RPAD3,-4.974246163636481,2.4950633746620574e-05,0.28658739441389275,749
financeiro,BMIN3,SANB11,-4.97295023897414,2.5097779784633637e-05,0.060850472561259354,749
financeiro,RPAD5,BPAC3,-4.972349791235579,2.5166240939499518e-05,0.14543434147241163,749
industria,PLAS3,LUPA3,-4.972121648428282,2.5192300215269977e-05,0.8478458814033567,749
mineracao_siderurgia,BRAP3,VALE3,-4.968794671590845,2.557528672977237e-05,0.28814633909304416,749
industria,ETER3,PLAS3,-4.966012289879622,2.589988458864842e-05,1.6293782031512307,749
financeiro,BMIN3,SANB4,-4.963649809321316,2.6178609090545123e-05,0.10369028893927075,749
energia_eletrica,CGAS3,CEBR6,-4.9626096964757975,2.6302235465236295e-05,-1.3539122398495662,749
energia_eletrica,ALUP3,ALUP11,-4.95725239736805,2.694795935374623e-05,0.3570224183626343,749
energia_eletrica,CGAS5,CEBR5,-4.938103352419196,2.9383208030791784e-05,-1.4579293800319546,749
energia_eletrica,CGAS3,ALUP11,-4.92373304599205,3.134852869041988e-05,-2.2949447438714143,749
energia_eletrica,CGAS3,ALUP4,-4.916699054287758,3.23560615465516e-05,-7.0075202879246605,749
energia_eletrica,CGAS5,CEBR3,-4.910386395980697,3.32867504929377e-05,-1.2308791528206178,749
financeiro,BMIN3,CXSE3,-4.907744235251056,3.3683890962363114e-05,0.04406390194775443,749
energia_eletrica,CGAS3,ALUP3,-4.901469450073327,3.464540293044128e-05,-6.30527946913815,749
financeiro,BMIN3,CGRA4,-4.891630135749165,3.620649765617608e-05,0.033850943820886346,749
industria,ETER3,INEP4,-4.864242064137269,4.091632562358555e-05,1.6532562593281823,702
energia_eletrica,CGAS3,CEBR5,-4.857694600359746,4.212658320205064e-05,-1.500626437723224,749
energia_eletrica,CGAS3,CEBR3,-4.8028921412236265,5.369732149609176e-05,-1.2875976600220764,749
energia_eletrica,CMIG4,COCE3,-4.786006560289868,5.783919361652329e-05,-0.097021570412078,749
financeiro,BMIN3,BSLI4,-4.778849992082475,5.96856109612326e-05,0.05828497093122022,742
energia_eletrica,CGAS5,CEBR6,-4.7782845205122895,5.9833890120287267e-05,-1.18369598481248,749
financeiro,BMIN3,BSLI3,-4.757480652460841,6.554147143150016e-05,0.04040968608552953,749
energia_eletrica,CGAS3,EQPA6,-4.745260295862046,6.913373030563147e-05,4.060781657566811,749
financeiro,RPAD5,PINE4,-4.737492462065113,7.151441489902401e-05,0.1912640661120519,749
energia_eletrica,CGAS3,CPLE3,-4.734873731962225,7.233455954179372e-05,-4.130979224506858,749
energia_eletrica,CGAS3,CBEE3,-4.720160764923679,7.711257986631622e-05,1.4784006120535826,749
energia_eletrica,CPFE3,ENGI3,-4.716585361364961,7.831853851566127e-05,1.0743338156530706,749
energia_eletrica,CGAS3,RNEW3,-4.700881554587857,8.383247769078141e-05,4.771342318722891,749
financeiro,RPAD5,BPAC11,-4.684523077815624,8.99705402959518e-05,0.0465015860572068,749
energia_eletrica,CGAS3,RNEW4,-4.676370913767884,9.31876947653406e-05,4.877849072467468,749
energia_eletrica,ENMT3,ENMT4,-4.645172863755675,0.0001065455599362296,0.9016853774846016,749
industria,RAPT3,RAPT4,-4.644288363038697,0.00010694973818287202,0.6939250515904201,749
energia_eletrica,CMIG4,AURE3,-4.640984320053898,0.0001084725376825815,-0.5240500966619264,691
mineracao_siderurgia,BRAP4,VALE3,-4.629713533541616,0.0001138245031415122,0.37392002936488694,749
financeiro,RPAD5,BBAS3,-4.593669562115624,0.00013268484621545783,0.05035220292649924,749
financeiro,RPAD5,BAZA3,-4.584337468513197,0.00013803370098447595,0.009498673012054933,749
energia_eletrica,TAEE11,TAEE4,-4.566609012982293,0.00014876659796373627,3.0336931594628487,749
energia_eletrica,TAEE4,TAEE11,-4.563215818265158,0.00015090958814563757,0.32851778783080243,749
financeiro,RPAD5,PSSA3,-4.555153007918859,0.00015612034012494724,0.032095837864842866,749
financeiro,RPAD5,BPAC5,-4.537227525982004,0.00016832606809666584,0.11719389347572098,749
energia_eletrica,ENMT4,EMAE4,-4.5334892417861035,0.0001709835867595466,-0.4086329018199235,749
energia_eletrica,CGAS5,REDE3,-4.516297828769972,0.00018372755955127756,-5.6215678753474965,749
energia_eletrica,ALUP4,ALUP3,-4.510762366444005,0.00018801989972883255,0.8656945196362557,749
financeiro,RPAD5,B3SA3,-4.48377191516534,0.0002103516219947184,-0.08852611850184107,749
energia_eletrica,TAEE3,TAEE4,-4.467798786852678,0.00022473223576707234,1.03587398015562,749
energia_eletrica,CGAS3,REDE3,-4.466448095324925,0.00022599018453506325,-4.7430461128835395,749
energia_eletrica,TAEE4,TAEE3,-4.465238845665917,0.00022712207648822356,0.9597263968940792,749
financeiro,RPAD5,IRBR3,-4.462856340449135,0.00022936794719061862,0.008908048145332043,749
financeiro,RPAD5,RPAD6,-4.41489314598463,0.00027932699695961565,0.0935453914227503,749
financeiro,RPAD5,BRSR5,-4.41405971116289,0.0002802801933816143,-0.07101636809629606,749
industria,LUPA3,PLAS3,-4.400613250315668,0.00029609171951995307,0.7138206887430605,749
energia_eletrica,CPFE3,ENGI4,-4.3983761545038345,0.00029880297943767786,3.039264029752874,749
energia_eletrica,CGAS3,EQTL3,-4.3977949244535175,0.00029951124566815024,-1.074438795324071,749
energia_eletrica,CPFE3,ENGI11,-4.394548037264399,0.00030349714828817917,0.5107634874949717,749
financeiro,RPAD5,BSLI3,-4.391170921301475,0.00030769622480030775,-0.01732495578379051,749
financeiro,RPAD5,BMIN3,-4.374729954031814,0.0003289370651304976,0.04796352818427374,749
energia_eletrica,CGAS3,EQPA3,-4.3726834825158845,0.0003316761494339376,-4.738245838867343,749
oleo_gas,PETR3,VBBR3,-4.370871011429275,0.0003341200588173604,1.223548835070409,749
industria,ETER3,INEP3,-4.363537815902713,0.0003441831632925456,1.404501131404571,749
energia_eletrica,CGAS3,TAEE3,-4.348969471296165,0.0003650319752876969,3.8532351962981664,749
financeiro,RPAD5,BRSR3,-4.336692985025346,0.0003835229749052191,0.08540006416255369,749
financeiro,RPAD5,CGRA3,-4.331413032499891,0.00039174509329905163,-0.01574790538577125,749
financeiro,RPAD5,SANB3,-4.324185345727568,0.0004032707932432782,0.09648116505243838,749
industria,INEP4,ETER3,-4.321050010820042,0.00040836961572973863,0.4653387649616664,702
energia_eletrica,AURE3,CMIG4,-4.318915327284652,0.0004118759293450947,-1.1575458791420863,691
financeiro,RPAD5,BRSR6,-4.31695652403004,0.0004151183636664814,0.03807918954211863,749
energia_eletrica,CGAS3,TAEE11,-4.3152399914644315,0.00041797957809705494,1.245237124639847,749
energia_eletrica,CGAS3,TAEE4,-4.31459727099387,0.00041905568781243314,3.707314542349094,749
energia_eletrica,CPFE3,ENMT4,-4.309598631049878,0.00042751471981899113,-0.09401860732732087,749
financeiro,RPAD5,CGRA4,-4.308309119220142,0.00042972294664349575,-0.007204947771266062,749
financeiro,SANB11,BSLI4,-4.302605012050006,0.00043962082132064094,0.4321427411768812,742
financeiro,RPAD5,WIZC3,-4.302100303265936,0.00044050689271577355,0.00908203238415761,749
financeiro,RPAD5,SANB11,-4.301664156189758,0.0004412739546679371,0.03713256686787754,749
financeiro,RPAD5,BBSE3,-4.300638649617107,0.0004430825091764471,-0.0044020776501946125,749
energia_eletrica,ALUP3,ALUP4,-4.295760774875808,0.00045178122633774033,1.098631765421818,749
industria,PLAS3,PTBL3,-4.29104432024678,0.0004603451974950398,0.5515537607160066,749
financeiro,RPAD5,SANB4,-4.2826432706663615,0.0004759803139708086,0.05160772428689887,749
financeiro,SANB3,BSLI4,-4.282610271740847,0.0004760427044606878,0.21340114048868108,742
financeiro,BBSE3,BSLI3,-4.265347679550346,0.0005097601184379138,-0.6469901969598144,749
financeiro,SANB4,BSLI4,-4.252287015005394,0.0005367533640279774,0.22386238514268172,742
mineracao_siderurgia,VALE3,BRAP4,-4.251226303487848,0.0005390037482511087,2.5734563406514384,749
energia_eletrica,EMAE4,ENMT4,-4.250233338690292,0.0005411184573171228,-0.8232947231103352,749
oleo_gas,DEXP4,UGPA3,-4.236642408086069,0.0005708601110496993,0.27500005629244384,749
energia_eletrica,CGAS3,ENGI4,-4.2310275748295405,0.0005835911762023184,-4.851061788357721,749
energia_eletrica,CGAS3,EGIE3,-4.22735850541836,0.0005920543324836586,-1.8082653680206933,749
financeiro,BBAS3,BAZA3,-4.224482735712505,0.0005987682747533203,0.19216963979316287,749
financeiro,WIZC3,BSLI4,-4.21081469256099,0.0006316697887460969,0.19928572328843744,742
energia_eletrica,CGAS3,CMIG4,-4.201049422174669,0.0006562102677014957,-2.6872899820247484,749
industria,PLAS3,POMO4,-4.200035059208699,0.0006588101731372696,-0.542319341543991,749
energia_eletrica,CGAS3,EQPA7,-4.198763424375136,0.0006620831732547291,-3.8501304031735755,749
oleo_gas,PETR4,VBBR3,-4.1942732183956375,0.0006737630167758317,1.3420808358942398,749
financeiro,BMIN4,RPAD5,-4.189985649074037,0.0006850963163597457,1.1688351192257045,749
energia_eletrica,CGAS3,COCE3,-4.1853401867795235,0.0006975777471168044,0.3484292748968168,749
mineracao_siderurgia,VALE3,BRAP3,-4.18339063384542,0.0007028791992926775,3.2640467095652763,749
industria,PLAS3,POMO3,-4.1772011378174465,0.0007199623733080585,-0.7314111144482682,749
financeiro,BMIN3,INBR32,-4.176276747016738,0.0007225469444692608,0.04015399606151137,585
energia_eletrica,CGAS3,COCE5,-4.175825413054073,0.0007238120258510458,0.4150194806728501,749
energia_eletrica,CGAS3,EMAE4,-4.171059102439368,0.000737299517357533,-0.12795377102049563,749
financeiro,CGRA4,BSLI4,-4.170551281841126,0.000738750356238244,0.8385676627914188,742
financeiro,BMIN4,INBR32,-4.162635314404371,0.000761715676339701,0.12229683189191548,585
energia_eletrica,CPFE3,EMAE4,-4.157965040295068,0.0007755773937320952,0.027163449200644955,749
industria,PLAS3,VLID3,-4.138657964659505,0.0008354333851566397,-0.21093562198483803,749
energia_eletrica,CGAS3,ENMT4,-4.135927031258325,0.0008442414924264484,0.23667573671161474,749
energia_eletrica,CGAS3,ENGI3,-4.134898223665552,0.0008475822381732186,-1.8182188652649545,749
energia_eletrica,REDE3,CEBR3,-4.13486981596841,0.000847674659298742,0.12592099188355266,749
energia_eletrica,COCE3,CMIG4,-4.1253328265108795,0.0008792418210844496,-8.046016647067354,749
energia_eletrica,CGAS5,CMIG3,-4.108537162743109,0.000937528830630112,1.5264821748099393,749
energia_eletrica,CGAS3,ENGI11,-4.101001768755981,0.0009648383488749644,-0.7253712566654724,749
energia_eletrica,CGAS3,EQPA5,-4.077105653420749,0.0010564468870608486,-3.566951200939225,749
oleo_gas,UGPA3,DEXP4,-4.07469262294854,0.0010661363858808185,3.153252725080512,749
energia_eletrica,CPFE3,REDE3,-4.068053016636857,0.00109322817886007,0.6903996247981207,749
energia_eletrica,CPFE3,ENMT3,-4.064171032087843,0.001109364633213884,-0.08128730830274866,749
oleo_gas,DEXP3,UGPA3,-4.062843537280457,0.0011149335773228564,0.23245400337436048,749
energia_eletrica,CGAS3,CPFE3,-4.062453650763064,0.001116574137223973,-0.8305349215542268,749
energia_eletrica,ALUP4,ALUP11,-4.0613835557779305,0.0011210884677561213,0.3186448076027465,749
oleo_gas,OSXB3,BRAV3,-4.0603605994341505,0.0011254198743427802,0.10267793408962489,749
agro_alimentos,CAML3,TTEN3,-4.053350718117722,0.0011555243847688568,-0.33051102240684205,749
energia_eletrica,TAEE11,TAEE3,-4.047301851491701,0.0011821045040566467,2.918558693605129,749
financeiro,BMIN3,BMIN4,-4.045613378610199,0.0011896253207263631,0.5521899746379708,749
energia_eletrica,CPFE3,CEBR6,-4.043941922637391,0.0011971143159777721,0.1747066072194984,749
energia_eletrica,CGAS3,LIGT3,-4.038233743382506,0.0012230230027504858,1.5630552219318101,749
energia_eletrica,TAEE3,TAEE11,-4.037988963276563,0.0012241456433980747,0.34112626033594623,749
energia_eletrica,CPFE3,CGAS3,-4.036260316545356,0.001232101191874639,-0.05105979475336165,749
energia_eletrica,ENMT4,ENGI11,-4.026412567393996,0.0012783501580829668,-1.2133799579042355,749
industria,RAIL3,SHUL4,-4.006008128635869,0.0013793756283118734,1.8435296075533396,749
energia_eletrica,CGAS5,EQPA6,-4.005223723320411,0.0013834039573700709,2.942498906651445,749
financeiro,BAZA3,BBAS3,-4.001231590995105,0.0014040759937255373,4.694942858721408,749
financeiro,BSLI4,BBSE3,-3.994254255303889,0.001440898301923116,-0.7061993001490233,742
agro_alimentos,SLCE3,LAND3,-3.987032416040198,0.0014799563820853839,0.1871457672700638,749
energia_eletrica,CPFE3,CEBR5,-3.9759025594489894,0.0015420840329930772,0.13077868160523354,749
energia_eletrica,CGAS3,ENMT3,-3.957079404030521,0.001652705287661575,-0.006260754423863143,749
energia_eletrica,CGAS3,CMIG3,-3.955816578079427,0.0016603845897408495,-0.011782617449050873,749
energia_eletrica,CPFE3,CEBR3,-3.9506848644340185,0.0016919331127017566,0.12165672131777895,749
energia_eletrica,CEBR5,CEBR3,-3.949611474336241,0.001698602074783625,0.7779315375111152,749
financeiro,CGRA4,BBSE3,-3.9205677079209202,0.0018885875854888227,-0.6784226438746475,749
mineracao_siderurgia,USIM3,CSNA3,-3.9174567827923297,0.001910065575040489,0.4795913327506473,749
energia_eletrica,ALUP11,ALUP4,-3.9128241575477554,0.0019424694561989886,3.095413882209568,749
financeiro,BSLI4,BSLI3,-3.912472960815557,0.0019449466374643072,0.5719709453939292,742
energia_eletrica,CGAS5,RNEW4,-3.9076266995542532,0.001979430256847877,3.4279882288524126,749
energia_eletrica,CPFE3,CGAS5,-3.901987568173843,0.0020202682934363806,-0.03293777218180877,749
energia_eletrica,CEBR3,CEBR5,-3.899574537814583,0.0020379805058619643,1.153048492547949,749
energia_eletrica,CPFE3,TAEE3,-3.887854555868712,0.0021260715122885083,0.21012491211937756,749
energia_eletrica,CPFE3,TAEE4,-3.887656980660309,0.0021275863085999797,0.2750621822146333,749
financeiro,BBAS3,BNBR3,-3.8874764537866815,0.0021289712696549844,0.23964588874686377,749
agro_alimentos,SLCE3,BEEF3,-3.8862778891845724,0.002138187563714768,0.4013789686450254,749
energia_eletrica,CPFE3,TAEE11,-3.8860163354916293,0.0021402036673322353,0.08439232198892113,749
energia_eletrica,CPFE3,EQPA3,-3.8851612629180146,0.0021468070055041012,1.418422455764355,749
financeiro,CGRA4,BSLI3,-3.8822022837130072,0.0021698036370096678,0.5296670916223044,749
energia_eletrica,EQPA5,TAEE4,-3.864120752289379,0.002315353219220966,-0.5840892721482437,749
oleo_gas,PETR3,LUXM4,-3.8569088423233078,0.002375883777695097,-2.42995274942113,749
energia_eletrica,CGAS3,AURE3,-3.8465980039080927,0.0024649658545690557,1.989296376074038,691
financeiro,BSLI3,BSLI4,-3.846063128722795,0.002469670069686184,1.5069923291658953,742
energia_eletrica,CPFE3,EQPA5,-3.8394736118635717,0.0025283086871004845,0.21138270837646966,749
energia_eletrica,EQPA7,CBEE3,-3.83388597812466,0.002579035557407309,-0.14511293706405595,749
oleo_gas,DEXP3,DEXP4,-3.833107132689677,0.002586180326468112,0.8739459301163757,749
energia_eletrica,CPFE3,EQPA6,-3.8276860407783175,0.0026364189317493406,-0.2806263154404285,749
energia_eletrica,CMIG4,EQPA6,-3.82413155029639,0.002669846111412637,-0.7233796329489788,749
energia_eletrica,CEBR5,CEBR6,-3.824008573305562,0.002671009575563584,0.8122921173398577,749
energia_eletrica,CPFE3,LIGT3,-3.819390492174954,0.002715040264540392,-0.06420035093809473,749
energia_eletrica,CPFE3,RNEW3,-3.818050406487715,0.0027279418542046183,-0.6063540733474023,749
energia_eletrica,CPLE3,RNEW3,-3.8168022004009456,0.0027400096745308807,-0.8871005293813244,749
energia_eletrica,CPFE3,COCE3,-3.812345138284994,0.0027835036944298275,-0.020371297997478503,749
industria,KEPL3,SHUL4,-3.811108625055011,0.0027956823534653727,0.5491348062500042,749
energia_eletrica,CGAS5,RNEW3,-3.804251542372534,0.002864114461073841,2.9858253119606495,749
energia_eletrica,EQPA5,TAEE3,-3.803606596991906,0.0028706295896634725,-0.561460893922181,749
financeiro,BRSR3,BRSR6,-3.802705571846545,0.002879754441002279,0.6790291824343424,749
energia_eletrica,EQPA5,TAEE11,-3.8023789366352894,0.0028830689267135457,-0.1907802069669332,749
energia_eletrica,CPFE3,RNEW4,-3.8013433673654475,0.0028936004543587803,-0.5823299043009665,749
industria,PLAS3,FRAS3,-3.7968563124730372,0.0029396432930458884,-0.29380436874217547,749
financeiro,B3SA3,CGRA4,-3.7967484256515514,0.0029407586027896935,0.22629823306232977,749
energia_eletrica,CPFE3,EQPA7,-3.7955434153872933,0.0029532422204095465,0.538425053105519,749
financeiro,BMIN4,ITSA4,-3.7873027304695435,0.0030399292412231203,0.9136299245699427,749
financeiro,ITSA3,INBR32,-3.783212742141858,0.003083816927956553,0.08064226770729402,585
financeiro,INBR32,RPAD5,-3.7746222565931338,0.0031779001314893433,9.023037790954382,585
energia_eletrica,CPFE3,EGIE3,-3.772164991987376,0.0032052932792470414,0.5531159773275564,749
financeiro,BMIN4,ITSA3,-3.7720629869178204,0.0032064350896601054,0.985633479546552,749
energia_eletrica,ENGI4,ENMT4,-3.769442416356389,0.0032358973034126146,-0.03031595452113898,749
energia_eletrica,CEBR5,CGAS5,-3.768573344491502,0.0032457227711721564,-0.23347993394340288,749
energia_eletrica,ALUP4,CPLE3,-3.7669315940479486,0.0032643587324088646,0.5575340357492299,749
energia_eletrica,CPFE3,ALUP11,-3.765105122455024,0.0032852069665205144,0.4713462050206823,749
financeiro,ITUB4,BNBR3,-3.7626055176211004,0.003313936873474333,0.1847446404266377,749
energia_eletrica,RNEW3,CPLE3,-3.7617547643939453,0.003323767745139621,-0.7404370719187648,749
energia_eletrica,CPFE3,COCE5,-3.7609591496726256,0.003332985686514345,-0.04107321219461466,749
financeiro,B3SA3,SANB4,-3.7601487345454916,0.0033423992288756704,0.7837171814627608,749
energia_eletrica,ENGI4,CPFE3,-3.7556143981852306,0.003395520557907351,0.1691509390594005,749
financeiro,WIZC3,BSLI3,-3.7543489070223157,0.003410483921227319,0.13164942612306282,749
energia_eletrica,EMAE4,ENMT3,-3.7524814543706424,0.003432675527745133,-0.7749384280432284,749
energia_eletrica,CBEE3,TAEE4,-3.747302912686013,0.0034949089241629355,2.5023366532654094,749
industria,KEPL3,INEP4,-3.7447968407903116,0.0035253958771864972,-0.14146267284848346,702
energia_eletrica,CBEE3,TAEE3,-3.7438981997445424,0.0035363873325262463,2.47547615628979,749
financeiro,IRBR3,SANB11,-3.743870297991858,0.0035367291068203227,4.8060600345476265,749
financeiro,BBAS3,PINE4,-3.7438030084557012,0.0035375534747697076,2.9010533253942166,749
financeiro,BMIN4,BPAC3,-3.7382929283804995,0.0036056588103988616,0.3763854709250219,749
financeiro,B3SA3,BRSR5,-3.7380948811080015,0.0036081289308028874,0.4733972156430866,749
energia_eletrica,CMIG4,COCE5,-3.7360053945577425,0.003634284473318914,-0.09617307945090539,749
energia_eletrica,CBEE3,TAEE11,-3.731787911152981,0.0036876077198461287,0.8334512578407351,749
energia_eletrica,CPFE3,EQTL3,-3.731349681575276,0.0036931893408928933,0.34977470747524336,749
industria,KEPL3,LOGN3,-3.727590542020095,0.003741387502996144,0.051102115256884226,749
agro_alimentos,SLCE3,AGRO3,-3.7273621327855926,0.003744334559980181,0.39410661872569885,749
energia_eletrica,CEBR6,CEBR5,-3.7245909107007553,0.0037802601252223986,1.1626141323712154,749
oleo_gas,BRAV3,OSXB3,-3.7180252277022827,0.003866639681446916,3.4147634646379843,749
financeiro,B3SA3,BSLI4,-3.7179337063751694,0.003867856422743214,0.19232666100469048,742
financeiro,WIZC3,BAZA3,-3.717771968135247,0.003870007528230047,-0.032390082427826226,749
financeiro,BBSE3,CGRA4,-3.7136473304255304,0.0039252362747685355,-0.9381663722519868,749
mineracao_siderurgia,CSNA3,USIM3,-3.7134705380573862,0.003927619559315065,1.8380180009668685,749
industria,SHUL4,RAIL3,-3.7107945478404845,0.003963855852926151,0.40663963265922726,749
financeiro,SANB4,BSLI3,-3.7083033335291526,0.003997864700217514,0.14068446065566925,749
energia_eletrica,ENGI11,ENGI3,-3.70443511127301,0.004051201059895338,2.1281887604985084,749
energia_eletrica,CPFE3,ALUP3,-3.7041088215427873,0.004055729681884211,1.1945620356316629,749
financeiro,BSLI3,PSSA3,-3.70384948546801,0.004059332345836273,-0.8464390197596217,749
industria,LUPA3,VLID3,-3.700744967111415,0.004102687703795458,-0.23805628174232707,749
energia_eletrica,ALUP11,CPLE3,-3.699543999471305,0.004119572768114723,1.745787223541874,749
financeiro,SANB4,BBSE3,-3.6954486480817508,0.004177630345941656,-0.17132872523451903,749
energia_eletrica,ENGI4,EMAE4,-3.6947559478273444,0.004187523997140393,0.01798324699055033,749
financeiro,BBSE3,SANB4,-3.693934224833504,0.004199288208646218,-1.909573109458541,749
financeiro,BRSR6,BRSR3,-3.690404847071911,0.004250160802625609,1.344350863609193,749
financeiro,WIZC3,BBSE3,-3.6876868304443313,0.00428972147099451,-0.15402626633154132,749
energia_eletrica,CGAS5,TAEE3,-3.6874414862490394,0.004293308949234224,1.5986332326407193,749
energia_eletrica,CGAS5,ENMT3,-3.6855940232473845,0.004320411099515013,-0.1486205204124672,749
oleo_gas,UGPA3,DEXP3,-3.6816888804068526,0.004378214135729917,3.1801145020766066,749
energia_eletrica,ALUP4,CGAS3,-3.680954193862798,0.00438916738958009,-0.04378992728566605,749
financeiro,BPAC3,BMIN4,-3.6801588827650042,0.00440105267272579,0.6866033744484791,749
energia_eletrica,EQPA7,COCE5,-3.6780090402537886,0.004433327529651822,-0.06055597002122043,749
energia_eletrica,RNEW4,EQPA6,-3.676378015714594,0.004457957506659426,0.6237784983213347,749
energia_eletrica,CGAS5,CPLE3,-3.6748432195629914,0.0044812483245219355,-2.582768550432237,749
financeiro,BRSR5,B3SA3,-3.6699367845723088,0.004556451197921307,0.37894257237760515,749
energia_eletrica,EQPA6,AURE3,-3.6685993393099126,0.004577149484601262,0.6418632153676168,691
financeiro,BNBR3,BBAS3,-3.6685712692140258,0.0045775848144411786,3.5675550449901148,749
industria,TGMA3,ETER3,-3.668526491999039,0.004578279327638074,-1.2410779967362235,749
energia_eletrica,CGAS5,TAEE11,-3.6632648273829327,0.004660562269082932,0.4774230194714473,749
energia_eletrica,CPFE3,CPLE3,-3.660451359639229,0.004705110945805408,1.063837370520751,749
energia_eletrica,CGAS5,TAEE4,-3.657841269686208,0.004746786043381381,1.4120591081429197,749
